Lagerstroemia indica, not metaphorical, multiword expression
Chionanthus virginicus, not metaphorical, multiword expression
Céleste, metaphorical, not multiword expression
Primula auricular, not metaphorical, multiword expression
Hypericum olympicum, not metaphorical, multiword expression
Begonias, not metaphorical, not multiword expression
Arabis alpina subs. Caucásica, not metaphorical, multiword expression
Sedum, not metaphorical, not multiword expression
Green Jade, metaphorical, multiword expression
Gaultheria shallon, not metaphorical, multiword expression
Jubaea chilensis, not metaphorical, multiword expression
Buddleja asiática, not metaphorical, multiword expression
Ukon, not metaphorical, not multiword expression
Schlesingeri, not metaphorical, not multiword expression
Shirley Temple, metaphorical, multiword expression
Unicorn plant, metaphorical, multiword expression
Phlox douglasii, not metaphorical, multiword expression
Variegata, not metaphorical, not multiword expression
Purple Splendour, metaphorical, multiword expression
Valeriana phu, not metaphorical, multiword expression
Echinopsis marsoneri, not metaphorical, multiword expression
Potato vine, not metaphorical, multiword expression
Stipa gigantean, not metaphorical, multiword expression
Peperomia caperata, not metaphorical, multiword expression
Cyananthus microphyllus, not metaphorical, multiword expression
Manteau d’Hermine, not metaphorical, multiword expression
Aurinia saxatilis, not metaphorical, multiword expression
Fittonia albivenis, not metaphorical, multiword expression
The Rocket, metaphorical, multiword expression
Chettle charm, metaphorical, multiword expression
Ruby Glow,metaphorical, multiword expression
Bruce, not metaphorical, not multiword expression
Yellow mariposa, metaphorical, multiword expression
Senna corymbosa, not metaphorical, multiword expression
Whitleyi Major, not metaphorical, multiword expression
Genista lydia, not metaphorical, multiword expression
Genista tenera, not metaphorical, multiword expression
Sprekelia formosissima, not metaphorical, multiword expression
Purple Knight, metaphorical, multiword expression
Creeping blue blossom, metaphorical, multiword expression
Cotinus, not metaphorical, not multiword expression
Polka, not metaphorical, not multiword expression
Blue candle, metaphorical, multiword expression
Mammillaria zeilmanniana, not metaphorical, multiword expression
B. prismatocarpa, not metaphorical, multiword expression
Archontophoenix alexandrae, not metaphorical, multiword expression
Royal Standard, metaphorical, multiword expression
Saxifraga x Elisabethae, not metaphorical, multiword expression
Sungleam, metaphorical, not multiword expression
Fireglow, metaphorical, not multiword expression
Piptanthus nepalensis, not metaphorical, multiword expression
Antennaria rosea, not metaphorical, multiword expression
Callistephus chinensis Series, not metaphorical, multiword expression
Eden valley, metaphorical, multiword expression
Golden Spaniard, metaphorical, multiword expression
Pseudosasa japonica, not metaphorical, multiword expression
Alpinia hainanensis, not metaphorical, multiword expression
Prunus tenella, not metaphorical, multiword expression
Stapehill, not metaphorical, not multiword expression
Fragrantissimum, metaphorical, not multiword expression
Wells’s Variety, not metaphorical, multiword expression
Aconitum hemsleyanum, not metaphorical, multiword expression
Matthiola, not metaphorical, not multiword expression
Ophrys tenthredinifera, not metaphorical, multiword expression
Barbara Jackman, not metaphorical, multiword expression
Dianthus chinensis baby doll Series, metaphorical, multiword expression
Nandina domestica, not metaphorical, multiword expression
Golden weeping willow, metaphorical, multiword expression
Vancouveria hexandra, not metaphorical, multiword expression
Ceanothus arboreus, not metaphorical, multiword expression
Echinopsis oxygona, not metaphorical, multiword expression
Buxus sempervirens, not metaphorical, multiword expression
White mulberry, not metaphorical, multiword expression
Primula japónica, not metaphorical, multiword expression
Buxus microphylla, not metaphorical, multiword expression
Flame ﬂower, metaphorical, multiword expression
Cyclamen comun, not metaphorical, multiword expression
Proliﬁc, metaphorical, not multiword expression
Kakegawa, not metaphorical, not multiword expression
Comet, metaphorical, not multiword expression
Hedychium x moorei, not metaphorical, multiword expression
Adiantum aleuticum, not metaphorical, multiword expression
Mertensia virginica, metaphorical, multiword expression
Bumblebee deelite, metaphorical, multiword expression
Crassula arborescens, not metaphorical, multiword expression
Salix Alba, not metaphorical, multiword expression
Wootton Cupid, metaphorical, multiword expression
Kerchoveana, not metaphorical, not multiword expression
Fructo Albo, not metaphorical, multiword expression
New Zealand tea-tree, not metaphorical, multiword expression
Davidia involucrata, metaphorical, multiword expression
Hebe hulkeana, not metaphorical, multiword expression
Monarda didyma, not metaphorical, multiword expression
Spiraea japonica, not metaphorical, multiword expression
Kiefuwind, not metaphorical, not multiword expression
Maiden-hair spleenwort, metaphorical, multiword expression
Livistona chinensis, not metaphorical, multiword expression
Senecio rowleyanus, not metaphorical, multiword expression
Daydawn, metaphorical, not multiword expression
Deutzia x magniﬁca, metaphorical, multiword expression
Mask ﬂower, metaphorical, multiword expression
Phillyrea latifolia, not metaphorical, multiword expression
Allium caeruleum, not metaphorical, multiword expression
Hyacinthacea, not metaphorical, not multiword expression
Hedyotis michauxii, not metaphorical, multiword expression
Chester Scarlet, metaphorical, multiword expression
Flore Pleno, metaphorical, multiword expression
Baobab, not metaphorical, not multiword expression
Italian cypress, not metaphorical, multiword expression
Loddon Anna, not metaphorical, multiword expression
Crescendo, metaphorical, not multiword expression
Western tea-myrtle, not metaphorical, multiword expression
Mimulus naiandinus, not metaphorical, multiword expression
Amelanchier lamarc, not metaphorical, multiword expression
Juglans microcarpa, metaphorical, multiword expression
Aster ericoides f. prostrates, metaphorical, multiword expression
Parodia haselbergii, not metaphorical, multiword expression
Little Wine Cup, metaphorical, multiword expression
Echeveria montana, not metaphorical, multiword expression
Ponderosa pine, not metaphorical, multiword expression
Achillea, not metaphorical, not multiword expression
Fritillaria cirrhosa, not metaphorical, multiword expression
Pussy ears, metaphorical, multiword expression
Balsam, metaphorical, not multiword expression
Calochortus superbus, not metaphorical, multiword expression
Robinia hispida, not metaphorical, multiword expression
Sunseneribuba, not metaphorical, not multiword expression
Dorothy Palmer, not metaphorical, multiword expression
Penstemon isophyllus, not metaphorical, multiword expression
Aronia arbutifolia, not metaphorical, multiword expression
Nephrolepis exaltata, not metaphorical, multiword expression
white form, metaphorical, multiword expression
Stonecress, metaphorical, not multiword expression
English bluebell, not metaphorical, multiword expression
Saxifraga sempervivum, not metaphorical, multiword expression
Impala, not metaphorical, not multiword expression
Silver wattle, metaphorical, multiword expression
Blackthorn Rose, not metaphorical, multiword expression
Icterina, not metaphorical, not multiword expression
Tanetidor, not metaphorical, not multiword expression
Liquidambar styraciﬂua, not metaphorical, multiword expression
Red passion ﬂower, metaphorical, multiword expression
Phygelius aequalis, not metaphorical, multiword expression
Ivorine, metaphorical, not multiword expression
Cardoon, not metaphorical, not multiword expression
Norway maple, not metaphorical, multiword expression
Cynara cardunculus, not metaphorical, multiword expression
Tecoma stans, not metaphorical, multiword expression
Golden Fleece, metaphorical, multiword expression
Potentilla, metaphorical, not multiword expression
Ctenanthe oppenheimiana, not metaphorical, multiword expression
Bird’s-nest fern, metaphorical, multiword expression
Apocynaceae, not metaphorical, not multiword expression
Campanula persicifolia, metaphorical, multiword expression
Calibrachoa Cabaret Series, metaphorical, multiword expression
Yellow bells, metaphorical, multiword expression
Luma apiculata, not metaphorical, multiword expression
Elephant bush, metaphorical, multiword expression
Liliiﬂora, not metaphorical, not multiword expression
Nicotiana alata, not metaphorical, multiword expression
Estella Rijnveld, metaphorical, multiword expression
Newby Hall, metaphorical, multiword expression
Calendula ofﬁcinalis, not metaphorical, multiword expression
Spindrift, not metaphorical, not multiword expression
Caradonna, metaphorical, not multiword expression
Accolade, metaphorical, not multiword expression
Feather grape hyacinth, not metaphorical, multiword expression
Marsh fern, not metaphorical, multiword expression
Richard Wallace, not metaphorical, multiword expression
Bartzella, not metaphorical, not multiword expression
Aciphylla aurea, metaphorical, multiword expression
Iris unguicularis, metaphorical, multiword expression
Ice-plant, metaphorical, multiword expression
Digitalis x mertonensis, not metaphorical, multiword expression
Aristolochia macrophylla, not metaphorical, multiword expression
Reisenscirm, not metaphorical, not multiword expression
Baby blue-eyes, metaphorical, multiword expression
Cytisus ardoinoi, not metaphorical, multiword expression
Cyclamen hederifolium f. albiﬂorum, not metaphorical, multiword expression
Amethyst Falls, metaphorical, multiword expression
Dianella caerulea, not metaphorical, multiword expression
Habenaria radiata, metaphorical, multiword expression
Pusey Green Tip, metaphorical, multiword expression
Labrador tea, metaphorical, multiword expression
Aesculus x neglecta, not metaphorical, multiword expression
Riversii, not metaphorical, not multiword expression
Snowcloud, metaphorical, not multiword expression
Phlomis fruticos, not metaphorical, multiword expression
Arisaema, not metaphorical, not multiword expression
Enchantment, metaphorical, not multiword expression
Rustica Rubra, not metaphorical, multiword expression
Syzygium paniculatum, not metaphorical, multiword expression
Lunaria annua, not metaphorical, multiword expression
Magnolia virginiana, metaphorical, multiword expression
Lilium Golden Splendor Group, metaphorical, multiword expression
Shortia soldanelloides, not metaphorical, multiword expression
Quadricolor, not metaphorical, not multiword expression
Bristlecone pine, not metaphorical, multiword expression
Ornamental yam, not metaphorical, multiword expression
Mulberry Wine, metaphorical, multiword expression
Swan Lake, metaphorical, multiword expression
Oncidium Eric Young gx, not metaphorical, multiword expression
Crimson bottlebrush, metaphorical, multiword expression
Fujiyama, not metaphorical, not expression
Monkshood, metaphorical, not multiword expression
Emperor of China, not metaphorical, multiword expression
Nymania capensis, not metaphorical, multiword expression
Lablab, not metaphorical, not multiword expression
Geranium, not metaphorical, not multiword expression
Illumination Salmon Pink, metaphorical, multiword expression
Stafford, not metaphorical, not multiword expression
Ceanothus thyrsiflorus var. repens, not metaphorical, multiword expression
Trillium grandiflorum, not metaphorical, multiword expression
Graptopetalum bellum, metaphorical, multiword expression
Camellia x williamsii, not metaphorical, multiword expression
Anthemis tinctoria, not metaphorical, multiword expression
Bellatulum, metaphorical, not multiword expression
Libertia grandiﬂora, not metaphorical, multiword expression
Iochroma cyaneum, not metaphorical, multiword expression
Potentilla nepalensis, metaphorical, multiword expression
Juniperus, not metaphorical, not multiword expression
Helleborus odorus, not metaphorical, multiword expression
Gunnera manicata, not metaphorical, multiword expression
Stephanandra incisa, not metaphorical, multiword expression
Langdon’s Royal Flush,  metaphorical, multiword expression
Aesculus x carnea, not metaphorical, multiword expression
Juglans ailantifolia var. cordiformis, not metaphorical, multiword expression
Podocarpus nivalis, not metaphorical, multiword expression
Angel Series, not metaphorical, multiword expression
Europa, not metaphorical, not multiword expression
Lucombeana, not metaphorical, not multiword expression
Platanus orientalis, not metaphorical, multiword expression
Catharanthus roseus Cobra Series, not metaphorical, multiword expression
Heidi, not metaphorical, not multiword expression
Fireball, metaphorical, not multiword expression
Water fringe, metaphorical, multiword expression
Pinus cembroides, not metaphorical, multiword expression
Norah Leigh, not metaphorical, multiword expression
Lipstick plant, metaphorical, multiword expression
Mammillaria geminispina, not metaphorical, multiword expression
Papyrus, not metaphorical, not multiword expression
Ribes laurifolium, not metaphorical, multiword expression
Uvularia grandiflora, not metaphorical, multiword expression
Sulphurea, metaphorical, not multiword expression
Anigozanthos manglesii, not metaphorical, multiword expression
Vitaliana primuliﬂora, not metaphorical, multiword expression
Atkinsii, not metaphorical, not multiword expression
Bishop of Llandaff, metaphorical, multiword expression
Kappa, metaphorical, not multiword expression
Pink Damask, metaphorical, multiword expression
Diascia personata, metaphorical, multiword expression
Ultima Radiance Series, not metaphorical, multiword expression
Iris ensata, metaphorical, multiword expression
Bassia scoparia f. trichophylla, not metaphorical, multiword expression
Eriogonum arborescens, not metaphorical, multiword expression
Alnus glutinosa, not metaphorical, multiword expression
Meadow saﬀron, metaphorical, multiword expression
Rose periwinkle, not metaphorical, multiword expression
Delphiniums, metaphorical, not multiword expression
Passiﬂora caerulea, not metaphorical, multiword expression
Achnatherum calamagrostis, not metaphorical, multiword expression
Eupatorium micranthum, not metaphorical, multiword expression
Amelanchier laevis, not metaphorical, multiword expression
Red buckeye, metaphorical, multiword expression
Switzerland, metaphorical, not multiword expression
Hon-beni, not metaphorical, multiword expression
Heartsease,  metaphorical, not multiword expression
Oncidium sotoanum, not metaphorical, multiword expression
Parahebe catarractae, not metaphorical, multiword expression
Letitia, not metaphorical, not multiword expression
Sunny Marina, metaphorical, multiword expression
Acradenia frankliniae, not metaphorical, multiword expression
Eurya emarginata, not metaphorical, multiword expression
Ismene x spofforthiae, not metaphorical, multiword expression
Convallaria majalis, not metaphorical, multiword expression
Olea europea, not metaphorical, multiword expression
Eschscholzia californica, not metaphorical, multiword expression
Giant Excelsior, metaphorical, multiword expression
Martynia annua, not metaphorical, multiword expression
Groenland, metaphorical, not multiword expression
Fittonia albivenis Argyroneura Group, not metaphorical, multiword expression
Albizia, not metaphorical, not multiword expression
Alpine ﬂeabane, not metaphorical, multiword expression
Jacqueline du Pré, not metaphorical, multiword expression
Draba aizoides, not metaphorical, multiword expression
Gay Princess, metaphorical, not multiword expression
Giant holly fern, metaphorical, multiword expression
Mazus reptans, not metaphorical, multiword expression
Haryup, not metaphorical, not multiword expression
Wintertime, metaphorical, not multiword expression
Spathodea campanulata, metaphorical, multiword expression
Iris graminea, metaphorical, multiword expression
Berberis darwinii, not metaphorical, multiword expression
Purple Flora, not metaphorical, multiword expression
Achillea clavennae, not metaphorical, multiword expression
Metake, not metaphorical, not multiword expression
Callistemon pallidus, not metaphorical, multiword expression
Corokia x virgata, not metaphorical, multiword expression
Snakebark maple, metaphorical, multiword expression
Campanula punctata C. takesimana, metaphorical, multiword expression
Pinwheel, metaphorical, multiword expression
Tilia tomentosa, not metaphorical, multiword expression
Black false hellebore, metaphorical, multiword expression
Gypsophila repens, metaphorical, multiword expression
Neon Star, metaphorical, multiword expression
Firetail, metaphorical, not multiword expression
Panache, not metaphorical, not multiword expression
Aureovariegatus, not metaphorical, not multiword expression
Pinus nigra subsp. nigra, not metaphorical, multiword expression
Crippsii, not metaphorical, not multiword expression
Tree of heaven, metaphorical, multiword expression
Black Lace, metaphorical, multiword expression
Deschampsisa cesoitosa, not metaphorical, multiword expression
Hibiscus syriacus, not metaphorical, multiword expression
Christ’s thorn, metaphorical, multiword expression
Polianthes tuberosa, metaphorical, multiword expression
Cornubiense, not metaphorical, not multiword expression
Robusta, metaphorical, not multiword expression
Romneya coulteri, not metaphorical, multiword expression
Rancho, metaphorical, not multiword expression
Halesia montícola, not metaphorical, multiword expression
Saxifraga x boydii, not metaphorical, multiword expression
Aureomarginatum, not metaphorical, not multiword expression
Ilex aquifolium, not metaphorical, multiword expression
Daphne petraea, not metaphorical, multiword expression
Roscoea scillifolia, not metaphorical, multiword expression
Jacwhink, not metaphorical, not multiword expression
Wilsonii, not metaphorical, not multiword expression
Anacamptis morio, not metaphorical, multiword expression
Beauclerk, metaphorical, not multiword expression
Calibrachoa Million Bells Series, metaphorical, multiword expression
Arisaema consanguineum, not metaphorical, multiword expression
Little walnut, not metaphorical, multiword expression
Egyptian star, metaphorical, multiword expression
Intertexta, not metaphorical, not multiword expression
x Halimiocistus sahucii, not metaphorical, multiword expression
Snowmound, metaphorical, not multiword expression
Monstera deliciosa, metaphorical, multiword expression
Hydrangea serratifolia, not metaphorical, multiword expression
Deutschland, not metaphorical, not multiword expression
Crackerjack, metaphorical, not multiword expression
Chamaemelum nobile, metaphorical, multiword expression
Rubus thibetanus, not metaphorical, multiword expression
Elegantissima, metaphorical, not multiword expression
Carnival, metaphorical, not multiword expression
Sagae, not metaphorical, not multiword expression
Starry Trail, metaphorical, multiword expression
S. aucuparia, not metaphorical, multiword expression
Calibrachoa Million Bells Series, not metaphorical, multiword expression
Acacia dealbata, not metaphorical, multiword expression
Ornithogalum thyrsoides, not metaphorical, multiword expression
Capsicum annuum, not metaphorical, multiword expression
Lunaria rediviva, not metaphorical, multiword expression
Tellima grandiflora, not metaphorical, multiword expression
Striped, not metaphorical, not multiword expression
Thuja occidentalis, not metaphorical, multiword expression
Helichrysum petiolare, not metaphorical, multiword expression
Chilean blue crocus, not metaphorical, multiword expression
Bressingham glow, metaphorical, multiword expression
Quercus myrsinifolia, not metaphorical, multiword expression
Eyecatcher, metaphorical, not multiword expression
Veitch ﬁr, not metaphorical, multiword expression
Kew Beauty, metaphorical, multiword expression
Polemonium caeruleum, not metaphorical, multiword expression
Golden Dome, metaphorical, multiword expression
Nicotiana sylvestris, not metaphorical, multiword expression
Ranunculus lingua, metaphorical, multiword expression
Dwarf fan palm,  metaphorical, multiword expression
Chelsea Physic Garden, metaphorical, multiword expression
Just Joey, metaphorical, multiword expression
Harqueterwife, not metaphorical, not multiword expression
Cardamine pentaphyllos, not metaphorical, multiword expression
Rosyjane, not metaphorical, not multiword expression
Scotch broom, metaphorical, multiword expression
Polystichum aculeatum, not metaphorical, multiword expression
Thlaspi cepaeifolium subsp. rotundifolium, not metaphorical, multiword expression
Paxistima canbyi, not metaphorical, multiword expression
Meconopsis grandis, not metaphorical, multiword expression
Cornukaempferia aurantiiﬂora, not metaphorical, multiword expression
Ceratostigma willmottianum, not metaphorical, multiword expression
Stella, metaphorical, not multiword expression
Fagus sylvatica f. pendula, metaphorical, multiword expression
Dwarf palmetto, not metaphorical, multiword expression
Blushing Bride, metaphorical, multiword expression
Tahiti, not metaphorical, not multiword expression
Froyle Mill, metaphorical, multiword expression
Rubella, not metaphorical, not multiword expression
Chusquea culeou, not metaphorical, multiword expression
Parlor palm, not metaphorical, multiword expression
Treasure Red, metaphorical, multiword expression
Dichondra argéntea, metaphorical, multiword expression
Acalypha wilkesiana, not metaphorical, multiword expression
Pitt White, not metaphorical, multiword expression
Veronica tennant, not metaphorical, multiword expression
Ophiopogon japonicas, not metaphorical, multiword expression
Cladanthus arabicus, not metaphorical, multiword expression
Dupontii, not metaphorical, not multiword expression
Lanei Aurea, metaphorical, multiword expression
Donard seedling, not metaphorical, multiword expression
Tuckmas, not metaphorical, not multiword expression
Cotoneaster cashmiriensis, not metaphorical, multiword expression
Blue Douglas ﬁr, not metaphorical, multiword expression
Devon green, metaphorical, multiword expression
Rosa glauca, not metaphorical, multiword expression
Begonia, not metaphorical, not multiword expression
Abutilon pictum, not metaphorical, multiword expression
Polish Spirit, metaphorical, multiword expression
Juglans nigra, not metaphorical, multiword expression
Tasmanian waratah, not metaphorical, multiword expression
Swiss-cheese plant, metaphorical, multiword expression
Lonicera fragrantissima, metaphorical, multiword expression
Arends, not metaphorical, not multiword expression
Giant redwood, not metaphorical, multiword expression
Populus x canescens, not metaphorical, multiword expression
Zenobia pulverulenta, not metaphorical, multiword expression
Flame, metaphorical, not multiword expression
Springwood White, not metaphorical, multiword expression
Félicité perpétue, not metaphorical, multiword expression
Neomarica caerulea, not metaphorical, multiword expression
Punica granatum var. Nana, not metaphorical, multiword expression
Crowborough, not metaphorical, not multiword expression
Bottlebrush buckeye, metaphorical, multiword expression
Altruist, not metaphorical, not multiword expression
Bastardii, metaphorical, not multiword expression
Golden creeping Jenny, metaphorical, multiword expression
Trillium rivale, not metaphorical, multiword expression
Yellow kangaroo paw, metaphorical, multiword expression
Lampranthus glaucoides, not metaphorical, multiword expression
Sunkisses, metaphorical, not multiword expression
Picea pungens, not metaphorical, multiword expression
Hardenbergia comptoniana, not metaphorical, multiword expression
Jack Frost, metaphorical, multiword expression
Blairside Yellow, not metaphorical, multiword expression
Jade tree, metaphorical, multiword expression
rosea, not metaphorical, not multiword expression
Peperomia marmorata, not metaphorical, multiword expression
Barbara Dibley, not metaphorical, multiword expression
Ercilla volubilis, not metaphorical, multiword expression
Zinnia x marylandica Series, not metaphorical, multiword expression
Ageratum, not metaphorical, not multiword expression
Typha minima, not metaphorical, multiword expression
Convolvulus althaeoides, not metaphorical, multiword expression
Dutchman’s pipe, metaphorical, multiword expression
Butter and Sugar, metaphorical, multiword expression
Populus alba, metaphorical, multiword expression
Fraxinus velutina, not metaphorical, multiword expression
Thalia dealbata, not metaphorical, multiword expression
Cissus antarctica, not metaphorical, multiword expression
Bog myrtle, not metaphorical, multiword expression
Sunshine, metaphorical, not multiword expression
Schizophragma, not metaphorical, not multiword expression
Viburnum betulifolium, not metaphorical, multiword expression
Henryi, not metaphorical, not multiword expression
x Amarygia parkeri, not metaphorical, multiword expression
Toffee Nosed, not metaphorical, multiword expression
Parodia mueller-melchersii, not metaphorical, multiword expression
Iochroma australe, not metaphorical, multiword expression
Trochodendron aralioides, not metaphorical, multiword expression
Ceratostigma griffithii, not metaphorical, multiword expression
Dichondra repens, metaphorical, multiword expression
Gaultheria, not metaphorical, not multiword expression
Blue giant, metaphorical, multiword expression
Cymbidium elegans, metaphorical, multiword expression
Abies veitchii, not metaphorical, multiword expression
Golden King, metaphorical, multiword expression
Corydalis popovii, not metaphorical, multiword expression
Plenus, not metaphorical, not multiword expression
Zorro, metaphorical, not multiword expression
Magnificum, metaphorical, not multiword expression
Balearica, not metaphorical, not multiword expression
Clump-forming, not metaphorical, multiword expression
Xanthocarpum, not metaphorical, not multiword expression
Gaillardia x grandiflora, not metaphorical, multiword expression
Phalaenopsis Lundy gx, not metaphorical, multiword expression
Protea neriifolia, not metaphorical, multiword expression
Tabebuia chrysotricha, not metaphorical, multiword expression
Aethionema armenum, not metaphorical, multiword expression
Cladrastis kentukea, not metaphorical, multiword expression
Cuphea x purpurea, not metaphorical, multiword expression
Nikko maple, not metaphorical, multiword expression
Mimulus x hybridus, not metaphorical, multiword expression
Centranthus ruber, metaphorical, multiword expression
Pink magic, metaphorical, multiword expression
Achillea ﬁlipendulina, not metaphorical, multiword expression
Karma Choc, metaphorical, multiword expression
Banksia coccinea, not metaphorical, multiword expression
Arenaria baleárica, not metaphorical, multiword expression
Corynocarpus laevigatus, not metaphorical, multiword expression
Jasminum mesnyi, not metaphorical, multiword expression
Lutea, not metaphorical, not multiword expression
Harmanna, not metaphorical, not multiword expression
Creeping zinnia, metaphorical, multiword expression
Mountain silverbell, metaphorical, multiword expression
Macleaya microcarpa, not metaphorical, multiword expression
White Moonlight, metaphorical, multiword expression
Dusky coral pea, metaphorical, multiword expression
Viburnum acerifolium, not metaphorical, multiword expression
Cistus x aguilarii, not metaphorical, multiword expression
Irene Copeland, not metaphorical, multiword expression
Aubrieta, not metaphorical, not multiword expression
Aureus, not metaphorical, not multiword expression
Buddleja crispa, not metaphorical, multiword expression
Lithocarpus henryi, not metaphorical, multiword expression
Chewarvel, not metaphorical, not multiword expression
Hahnii, not metaphorical, not multiword expression
Scilla bifolia, not metaphorical, multiword expression
Yae-kokuryu, not metaphorical, multiword expression
Garden loosestrife, metaphorical, multiword expression
Ostrich fern, not metaphorical, multiword expression
Minuteman, not metaphorical, not multiword expression
Spellbinder, metaphorical, not multiword expression
Kew Red, not metaphorical, multiword expression
Black Beauty, metaphorical, multiword expression
Doronicum, not metaphorical, not multiword expression
Harxampton, not metaphorical, not multiword expression
Water Lily, not metaphorical, multiword expression
Silberlicht, not metaphorical, not  expression
European fan palm,  metaphorical, multiword expression
Youngii, metaphorical, not multiword expression
Ipomoea batatas, not metaphorical, multiword expression
Giant pineapple lily, metaphorical, multiword expression
Leycesteria formosa, not metaphorical, multiword expression
Parrotia persica, not metaphorical , multiword expression
Littonia modesta, metaphorical, multiword expression
Flowering banana, not metaphorical, multiword expression
Trillium ovatum, not metaphorical, multiword expression
Ranunculus ﬁcaria var. Albus, not metaphorical, multiword expression
Fargesia nitida, metaphorical, multiword expression
Pinus pinaster, not metaphorical, multiword expression
Large yellow restharrow, metaphorical, multiword expression
Violet Star, metaphorical, multiword expression
Caesalpinia gilliesii, not metaphorical, multiword expression
Soleirolia soleirolii, not metaphorical, multiword expression
Castanea sativa, not metaphorical, multiword expression
Black Magic, metaphorical, multiword expression
Ruby Wedding, metaphorical, multiword expression
Sempervivum arachnoideum, not metaphorical, multiword expression
Gnom, metaphorical, not multiword expression
Chlidanthus fragrans, not metaphorical, multiword expression
Oosterbeck Remembered, not metaphorical, multiword expression
Lithodora oleifolia, not metaphorical, multiword expression
Crystal Ice, metaphorical, multiword expression
Prostanthera cuneata, not metaphorical, multiword expression
Nora Barlow, not metaphorical, multiword expression
Summerwine, metaphorical, not multiword expression
Copperleaf, not metaphorical, not multiword expression
Lychnis coronaria, not metaphorical, multiword expression
Heterocentron elegans, metaphorical, multiword expression
Silver Comet, metaphorical, multiword expression
X Fatshedera lizei, not metaphorical, multiword expression
White cypress, not metaphorical, multiword expression
Totnes Burgundy, not metaphorical, multiword expression
Roscoea humeana, not metaphorical, multiword expression
Pratia pedunculata, not metaphorical, multiword expression
Sunset, metaphorical, not multiword expression
Anemone tomentosa, not metaphorical, multiword expression
Rabbit tracks, metaphorical, multiword expression
Daphne retusa, not metaphorical, multiword expression
Golden larch, metaphorical, multiword expression
Typha latifolia, not metaphorical, multiword expression
Sparganium erectum, not metaphorical, multiword expression
Chimonobambusa timidissinoda, metaphorical, multiword expression
Creeping willow, metaphorical, multiword expression
Inneuphe, not metaphorical, not multiword expression
Hyssopus officinalis, not metaphorical, multiword expression
Tiger Paws, metaphorical, multiword expression
Mimosaceae, metaphorical, multiword expression
Neoregelia concentrica, metaphorical, multiword expression
Tradescantia zebrina, metaphorical, multiword expression
Annabel, not metaphorical, not multiword expression
Plum Pudding, metaphorical, multiword expression
Waltraut, not metaphorical, not multiword expression
Waldsteinia ternata, not metaphorical, multiword expression
Menton, metaphorical, not multiword expression
Clorinda, not metaphorical, not multiword expression
Chimes Series, not metaphorical, multiword expression
Chinaberry, not metaphorical, not multiword expression
Arisarum proboscideum, not metaphorical, multiword expression
Pinus contorta, not metaphorical, multiword expression
Saxifraga scardica, not metaphorical, multiword expression
Coelogyne cristata, not metaphorical, multiword expression
Potamogeton crispus, not metaphorical, multiword expression
Gypsophila paniculata, not metaphorical, multiword expression
Eupatorium ligustrinum, not metaphorical, multiword expression
Tunic ﬂower, metaphorical, multiword expression
Digitalis purpurea, not metaphorical, multiword expression
Fritillaria persica , not metaphorical, multiword expression
Vestia foetida, not metaphorical, multiword expression
Genista cinerea, not metaphorical, multiword expression
Zephyranthe, not metaphorical, not multiword expression
Torreya califórnica, not metaphorical, multiword expression
La Bourboule, not metaphorical, multiword expression
India Star, metaphorical, multiword expression
Geranium sylvaticum, not metaphorical, multiword expression
Heart vine, metaphorical, multiword expression
Harpagent, metaphorical, not multiword expression
Glechoma hederacea, not metaphorical, multiword expression
Tulbaghia simmleri, not metaphorical, multiword expression
Nemesia Amelie, not metaphorical, multiword expression
Sarracenia purpurea, metaphorical, multiword expression
Amaranthus hypochondriacus, not metaphorical, multiword expression
 Crispa, not metaphorical, multiword expression
Dieffenbachia seguine, not metaphorical, multiword expression
Dwarf Bouquet, metaphorical, multiword expression
Powis Castle, not metaphorical, multiword expression
Sulphur queen, metaphorical, multiword expression
Gynura aurantiaca, not metaphorical, multiword expression
Lupinus arboreus, not metaphorical, multiword expression
Mexican foxglove, not metaphorical, multiword expression
Hedychium coccineum, not metaphorical, multiword expression
Pennisetum alopecuroides, not metaphorical, multiword expression
Ribbon plant, not metaphorical, multiword expression
Scabiosa atropurpurea, not metaphorical, multiword expression
Pinus peuce, not metaphorical, multiword expression
Aesculus pavia, not metaphorical, multiword expression
Convolvulus sabatius, not metaphorical, multiword expression
Moraea huttonii, not metaphorical, multiword expression
Colchicum bivonae, not metaphorical, multiword expression
Butterpat, metaphorical, not multiword expression
Semiarundinaria fastuosa, not metaphorical, multiword expression
Beauclerk, not metaphorical, not multiword expression
Veronica peduncularis, not metaphorical, multiword expression
Sour Grapes, not metaphorical, multiword expression
Helmet ﬂower, metaphorical, multiword expression
Sugared-almond plum, metaphorical, multiword expression
Fremontodendron, not metaphorical, not multiword expression
Gorse, not metaphorical, multiword expression
Allium schoenoprasum, not metaphorical, multiword expression
Pulsatilla alpine, not metaphorical, multiword expression
Winter Beauty, metaphorical, multiword expression
Dioscorea dodecaneura, not metaphorical, multiword expression
Zanthoxylum simulans, not metaphorical, multiword expression
Plena, metaphorical, not multiword expression
Double meadow buttercup, metaphorical, multiword expression
x Amarcrinum memoria-corsii, not metaphorical, multiword expression
Wyevale, not metaphorical, not multiword expression
Myosotis Sylva Series, not metaphorical, multiword expression
Schisandra rubriﬂora, not metaphorical, multiword expression
Galanthus plicatus subsp. byzantinus, not metaphorical, multiword expression
Japonicum, not metaphorical, not multiword expression
